hhid,date,charcoal_consumption,pellet_consumption,cooking_duration_min
10386,2025-11-13,2.068647,0.0,374.0
10386,2025-11-15,1.045521,0.0,793.0
10386,2025-11-16,1.1133000000000002,0.0,538.0
10387,2025-11-10,3.660583,0.0,107.0
10387,2025-11-11,5.68283,0.0,85.0
10387,2025-11-12,0.6531239999999999,0.0,100.0
10387,2025-11-15,0.522649,0.0,67.0
10387,2025-11-16,0.417636,0.0,177.0
10387,2025-11-17,0.709714,0.0,26.0
10388,2025-11-10,0.6928920000000001,0.0,393.0
10388,2025-11-11,2.048702,0.0,620.0
10388,2025-11-12,1.8457409999999996,0.0,499.0
10388,2025-11-13,2.1588779999999996,0.0,598.0
10388,2025-11-14,1.9435499999999992,0.0,485.0
10388,2025-11-17,0.8829529999999999,0.0,139.0
10394,2025-11-22,0.048725,0.0,266.0
10394,2025-11-23,0.0,0.0,705.0
10394,2025-11-29,2.10758,0.0,83.0
10419,2025-11-19,0.1575019999999999,0.0,314.0
10419,2025-11-20,0.43596699999999966,0.0,176.0
10419,2025-11-22,1.2536759999999996,0.0,414.0
10419,2025-11-23,0.759881,0.0,301.0
10419,2025-11-26,0.4945119999999999,0.0,104.0
10425,2025-11-19,1.4122480000000008,0.0,383.0
10425,2025-11-20,4.946117999999999,0.0,1207.0
10425,2025-11-24,2.8308020000000003,0.0,992.0
10425,2025-11-26,0.0,0.0,510.0
10456,2025-11-25,0.4563299999999998,0.0,213.0
10456,2025-11-27,0.0,0.0,477.0
10456,2025-11-28,1.4412549999999993,0.0,1003.0
10456,2025-11-29,0.431348,0.0,80.0
10495,2025-11-19,1.5505359999999997,0.0,505.0
10495,2025-11-20,2.9853189999999983,0.0,790.0
10495,2025-11-21,1.8059779999999994,0.0,486.0
10495,2025-11-22,2.842322,0.0,656.0
10495,2025-11-23,2.038416,0.0,508.0
10495,2025-11-25,3.1964829999999997,0.0,648.0
10510,2025-11-20,0.0,0.0,214.0
10510,2025-11-21,0.7963229999999996,0.0,214.0
10510,2025-11-24,0.9662789999999997,0.0,306.0
10510,2025-11-25,0.667303,0.0,161.0
10510,2025-11-26,0.7384469999999997,0.0,286.0
10510,2025-11-27,0.1986369999999999,0.0,41.0
10536,2025-11-24,0.321697,0.0,129.0
10536,2025-11-26,0.668268,0.0,375.0
10536,2025-11-29,0.366819,0.0,155.0
202,2025-11-07,0.0,0.299766,23.0
302,2025-11-13,1.3550179999999992,0.0,389.0
302,2025-11-17,1.558306,2.0724979999999995,586.0
302,2025-11-19,1.366453,0.0,824.0
302,2025-11-20,0.5610509999999997,0.0,301.0
304,2025-11-15,0.0,1.5658050000000001,513.0
304,2025-11-19,2.4411709999999993,0.5919920000000001,116.0
304,2025-11-20,1.669349,0.7345220000000001,141.0
318,2025-11-15,0.467105,0.5600019999999998,71.0
318,2025-11-16,0.606624,2.582280999999999,58.0
318,2025-11-19,0.59061,0.6372330000000002,87.0
318,2025-11-20,0.13372,0.6679329999999997,59.0
325,2025-11-12,0.0,1.454247,37.0
325,2025-11-13,0.0,0.7550760000000003,48.0
325,2025-11-14,0.49262,1.4226459999999999,79.0
325,2025-11-15,0.0,1.3060070000000001,71.0
325,2025-11-16,0.4829739999999999,0.624022,57.0
325,2025-11-17,0.472262,1.364224,114.0
332,2025-11-16,0.9905089999999999,0.2255730000000002,334.0
332,2025-11-17,1.791851,0.9563979999999995,592.0
332,2025-11-18,0.7314709999999999,0.0,321.0
332,2025-11-21,1.2839760000000002,0.0,126.0
333,2025-11-29,1.269303,0.0,780.0
333,2025-11-30,1.7181209999999996,0.645061,671.0
333,2025-12-02,3.870196999999999,0.7059039999999994,986.0
333,2025-12-04,0.0,1.6162549999999998,315.0
334,2025-11-21,0.691137,0.0,169.0
334,2025-11-23,1.1056059999999999,0.0,764.0
334,2025-11-24,0.2157250000000002,0.0,956.0
334,2025-11-25,1.929961,0.0,1099.0
334,2025-11-27,1.237639,0.0,970.0
334,2025-11-28,0.0,0.0,121.0
357,2025-11-14,0.185126,0.0,51.0
357,2025-11-15,2.016039,0.0,476.0
357,2025-11-19,0.696222,0.0,288.0
357,2025-11-20,0.0,0.0,186.0
359,2025-11-17,1.3187109999999995,0.0,604.0
